scene,index,label,loss,fd_x,fd_y,fd_z,an_x,an_y,an_z,err_x,err_y,err_z,abs_err_x,abs_err_y,abs_err_z
target,0,full_y,3.077738801948726e-05,-0.0003826124739134684,0.00020485627192101674,-0.0004631303672795184,2.4412571292486973e-05,0.000381174759240821,0.000783572206273675,-0.0004070250452059554,-0.00017631848731980426,-0.0012467025735531934,0.0004070250452059554,0.00017631848731980426,0.0012467025735531934
target,0,full_x,0.00017286422371398658,0.0012849520280724391,-9.278353536501527e-05,-0.0008691353432368487,0.003029139479622245,-5.330907879397273e-05,0.00010210881009697914,-0.0017441874515498057,-3.947445657104254e-05,-0.0009712441533338279,0.0017441874515498057,3.947445657104254e-05,0.0009712441533338279
target,0,full_z,0.0004021084459964186,-0.00038605587906204164,0.0005259807512629777,0.002976447118271608,1.4845618352410384e-05,-5.499993494595401e-05,0.006879620719701052,-0.000400901497414452,0.0005809806862089317,-0.003903173601429444,0.000400901497414452,0.0005809806862089317,0.003903173601429444
target,0,full_x,4.6480941819027066e-05,0.0004422701093744763,-6.946561916265637e-05,-0.0009653298911871389,0.0016399289015680552,-5.711227458959911e-06,2.5042900233529508e-05,-0.0011976587921935788,-6.375439170369646e-05,-0.0009903727914206684,0.0011976587921935788,6.375439170369646e-05,0.0009903727914206684
target,0,full_x,0.00017361649952363223,0.001508828136138618,-2.4445471353828907e-05,-0.0001761887688189745,0.0030505338218063116,-7.223688589874655e-05,0.00014619925059378147,-0.0015417056856676936,4.779141454491764e-05,-0.00032238801941275597,0.0015417056856676936,4.779141454491764e-05,0.00032238801941275597
target,0,full_x,0.00017327694513369352,0.0015594153470980623,-4.8467093923439584e-05,-0.00019984872778877616,0.003009970299899578,-7.97192842583172e-05,0.0001279218849958852,-0.0014505549528015158,3.125219033487762e-05,-0.00032777061278466135,0.0014505549528015158,3.125219033487762e-05,0.00032777061278466135
target,0,full_x,0.0001675374951446429,0.0022442982299253345,0.00015343903214670718,-4.306857590563595e-05,0.0029803926590830088,-5.877972216694616e-05,7.884378283051774e-05,-0.0007360944291576743,0.00021221875431365333,-0.00012191235873615369,0.0007360944291576743,0.00021221875431365333,0.00012191235873615369
target,0,full_x,0.0001731059601297602,0.001396782317897305,-0.0008409107977058738,-2.8532667784020305e-05,0.003020723583176732,-8.883715781848878e-05,0.0001237203978234902,-0.0016239412652794272,-0.0007520736398873851,-0.0001522530656075105,0.0016239412652794272,0.0007520736398873851,0.0001522530656075105
target,0,full_x,0.00011315080337226391,0.001084716132027097,-0.00022783460735809058,-0.000733000342734158,0.0020857802592217922,-7.382299372693524e-05,4.505363176576793e-05,-0.0010010641271946952,-0.00015401161363115534,-0.000778053974499926,0.0010010641271946952,0.00015401161363115534,0.000778053974499926
target,0,full_z,0.00020649033831432462,-1.895095920190215e-05,-0.0004404791980050504,0.0015701218217145652,7.943712262203917e-06,-7.392652332782745e-05,0.0035923197865486145,-2.6894671464106068e-05,-0.00036655267467722297,-0.0020221979648340493,2.6894671464106068e-05,0.00036655267467722297,0.0020221979648340493
target,0,full_y,2.8672899134107865e-05,-0.00021132927940925583,0.00010252069841953926,0.0006266726813919377,-8.075579899013974e-06,0.00028223166009411216,0.0005261895712465048,-0.00020325369951024186,-0.0001797109616745729,0.00010048311014543287,0.00020325369951024186,0.0001797109616745729,0.00010048311014543287
target,2,full_x,8.64534104039194e-06,0.00014010472568770638,-2.034962562902365e-05,-0.00017112624846049584,-5.614111842078273e-07,0.00013609537563752383,-2.0969255274394527e-05,0.0001406661368719142,-0.00015644500126654748,-0.00015015699318610132,0.0001406661368719142,0.00015644500126654748,0.00015015699318610132
target,2,full_y,8.656358659209218e-06,7.617404662596527e-05,0.00013037129065196496,-0.0001757301106408704,1.480057903791021e-06,0.000135176393087022,-2.8551730792969465e-05,7.469398872217425e-05,-4.8051024350570515e-06,-0.00014717837984790094,7.469398872217425e-05,4.8051024350570515e-06,0.00014717837984790094
target,2,full_x,2.224016498075798e-05,0.000196129985852167,8.64083631313406e-06,6.01867213845253e-06,0.00021197451860643923,-2.3320473701460287e-05,7.113360425137216e-07,-1.5844532754272223e-05,3.1961310014594346e-05,5.307336095938808e-06,1.5844532754272223e-05,3.1961310014594346e-05,5.307336095938808e-06
target,1,full_z,6.11056384514086e-05,-0.00036485143937170506,-0.00038803937059128657,0.0003847384505206719,-2.4742572350078262e-05,-0.0005258884048089385,0.0018634957959875464,-0.0003401088670216268,0.00013784903421765193,-0.0014787573454668745,0.0003401088670216268,0.00013784903421765193,0.0014787573454668745
target,1,full_z,5.916913869441487e-05,-0.00013672652130480856,-0.0003853889211313799,0.0006529948223032989,-1.8131269825971685e-05,-0.0003572781279217452,0.0018321966053918004,-0.00011859525147883687,-2.811079320963472e-05,-0.0011792017830885015,0.00011859525147883687,2.811079320963472e-05,0.0011792017830885015
target,1,full_z,6.192445289343596e-05,-4.562511094263755e-05,-0.00015985922800609842,0.000625989014224615,-1.6356176274712197e-05,-0.00040731870103627443,0.0018664444796741009,-2.926893466792535e-05,0.000247459473030176,-0.001240455465449486,2.926893466792535e-05,0.000247459473030176,0.001240455465449486
target,1,full_z,0.0016766124172136188,-0.0002396188210695982,-0.004474432789720595,0.0030072935624048114,-0.00021164170175325125,-0.004935909993946552,0.023486753925681114,-2.7977119316346943e-05,0.0004614772042259574,-0.020479460363276303,2.7977119316346943e-05,0.0004614772042259574,0.020479460363276303
target,1,full_z,0.000438916205894202,-0.0001303110911976546,-0.0013642155681736767,0.0016413630510214716,-8.172570960596204e-05,-0.001091189798898995,0.0069977398961782455,-4.858538159169257e-05,-0.0002730257692746818,-0.005356376845156774,4.858538159169257e-05,0.0002730257692746818,0.005356376845156774
